Price,Year,Generation,Trim,Mileage,Distance,Seller
8995,2016,7,ST-3,37567,173,Private
7185,2017,7,ST-3,78670,104,Private
14995,2019,8,ST-3,24000,66,Private
14999,2020,8,ST-3,36000,94,Private
12495,2018,8,ST-3,60007,111,Private
12495,2017,7,ST-3,14000,106,Private
16790,2021,8,ST-3,42300,109,Private
18670,2022,8,ST-3,11999,26,Private
18873,2021,8,ST-3,11613,137,Private
15145,2020,8,ST-3,41000,55,Private
18995,2023,8,ST-3,13103,32,Private
18799,2022,8,ST-3,10954,44,Private
7995,2017,7,ST-3,70000,126,Private
21660,2024,8,ST-3,5594,30,Private
17995,2022,8,ST-3,14220,84,Private
6199,2016,7,ST-3,64000,91,Private
17392,2022,8,ST-3,16907,79,Private
16150,2022,8,ST-3,38090,80,Private
13750,2018,8,ST-3,51000,65,Private
18873,2021,8,ST-3,11613,137,Private
8250,2015,7,ST-3,53000,115,Private
3750,2015,7,ST-3,139250,57,Private
13950,2019,8,ST-3,38188,54,Private
20990,2023,8,ST-3,3370,76,Private
12000,2019,8,ST-3,62836,101,Private
12250,2019,8,ST-3,52602,70,Private
6995,2016,7,ST-3,75000,126,Private
13300,2018,8,ST-3,40781,101,Private
5395,2014,7,ST-3,92819,13,Private
15000,2020,8,ST-3,44326,125,Private
20595,2023,8,ST-3,9345,23,Private
13795,2019,8,ST-3,47000,121,Private
11590,2018,8,ST-3,70000,100,Private
8995,2018,8,ST-3,70009,110,Private
16495,2018,8,ST-3,16300,177,Private
15500,2019,8,ST-3,22798,23,Private
7600,2016,7,ST-3,69000,27,Private
10630,2017,7,ST-3,38993,130,Private
10000,2016,7,ST-3,47294,105,Private
7250,2015,7,ST-3,62445,189,Private
9995,2017,7,ST-3,50100,11,Private
18990,2022,8,ST-3,14917,187,Private
14394,2019,8,ST-3,41092,57,Private
14499,2019,8,ST-3,36000,95,Private
19000,2022,8,ST-3,11545,24,Private
8250,2017,7,ST-3,63000,174,Private
14149,2019,8,ST-3,37410,3,Private
13368,2018,8,ST-3,40377,168,Private
7190,2014,7,ST-3,66209,79,Private
4990,2014,7,ST-3,80000,101,Private
15500,2020,8,ST-3,31000,50,Private
18999,2022,8,ST-3,9256,116,Private
14949,2019,8,ST-3,23200,112,Private
11990,2018,8,ST-3,69000,163,Private
14495,2018,8,ST-3,48000,42,Private
10199,2017,7,ST-3,36760,173,Private
18995,2022,8,ST-3,18942,20,Private
8590,2016,7,ST-3,52811,118,Private
14000,2019,8,ST-3,42514,93,Private
20419,2023,8,ST-3,5034,13,Private
18700,2022,8,ST-3,25611,78,Private
7495,2016,7,ST-3,67575,183,Private
20595,2023,8,ST-3,9345,23,Private
13995,2018,8,ST-3,55500,88,Private
6000,2014,7,ST-3,83000,160,Private
9695,2018,8,ST-3,61000,148,Private
9649,2017,7,ST-3,38032,1,Private
5098,2014,7,ST-3,100928,114,Private
18950,2022,8,ST-3,17252,59,Private
12999,2019,8,ST-3,50230,158,Private
17695,2022,8,ST-3,15120,93,Private
12450,2019,8,ST-3,59284,127,Private
7950,2017,7,ST-3,71311,168,Private
18873,2021,8,ST-3,11613,137,Private
19750,2022,8,ST-3,13206,168,Private
7250,2016,7,ST-3,80468,194,Private
7120,2016,7,ST-3,86742,130,Private
19995,2022,8,ST-3,9213,85,Private
7994,2015,7,ST-3,56000,254,Private
9995,2016,7,ST-3,33106,114,Private
7500,2016,7,ST-3,64000,169,Private
19400,2022,8,ST-3,10964,59,Private
17440,2022,8,ST-3,17659,140,Private
17990,2022,8,ST-3,20782,30,Private
18799,2022,8,ST-3,10954,44,Private
18000,2022,8,ST-3,12993,16,Private
18674,2022,8,ST-3,14444,57,Private
21250,2022,8,ST-3,6923,30,Private
8995,2017,7,ST-3,51522,104,Private
14487,2018,8,ST-3,30469,60,Private
7795,2015,7,ST-3,69000,58,Private
8226,2016,7,ST-3,60413,122,Private
18500,2022,8,ST-3,13100,13,Private
19495,2023,8,ST-3,14500,28,Private
17990,2022,8,ST-3,13394,16,Private
6988,2017,7,ST-3,75000,160,Private
9691,2017,7,ST-3,48180,146,Private
17500,2022,8,ST-3,17350,93,Private
8000,2016,7,ST-3,57000,87,Private
20490,2022,8,ST-3,10950,106,Private
18995,2020,8,ST-3,12704,126,Private
9495,2017,7,ST-3,46502,179,Private
9295,2017,7,ST-3,50000,114,Private
19500,2022,8,ST-3,14300,69,Private
20150,2023,8,ST-3,8773,103,Private
18799,2022,8,ST-3,10954,44,Private
18926,2022,8,ST-3,11485,10,Private
8799,2015,7,ST-3,49864,182,Private
14395,2018,8,ST-3,79000,82,Private
14499,2019,8,ST-3,36400,95,Private
20799,2022,8,ST-3,5199,32,Private
7245,2014,7,ST-3,62672,149,Private
9750,2017,7,ST-3,42200,112,Private
19440,2023,8,ST-3,11036,103,Private
6500,2014,7,ST-3,78000,38,Private
16800,2019,8,ST-3,15108,117,Private
18873,2021,8,ST-3,11613,137,Private
18990,2022,8,ST-3,18000,163,Private
9899,2017,7,ST-3,39436,158,Private
17895,2023,8,ST-3,14737,115,Private
5600,2015,7,ST-3,88000,96,Private
17390,2023,8,ST-3,34000,103,Private
7500,2017,7,ST-3,61304,150,Private
13995,2018,8,ST-3,38100,220,Private
11795,2017,7,ST-3,30100,126,Private
11999,2018,8,ST-3,64190,246,Private
5495,2015,7,ST-3,82000,104,Private
18990,2022,8,ST-3,14917,187,Private
11900,2019,8,ST-3,61595,35,Private
7995,2016,7,ST-3,63067,160,Private
19499,2023,8,ST-3,16700,116,Private
19990,2022,8,ST-3,8600,40,Private
18302,2022,8,ST-3,11161,81,Private
14006,2019,8,ST-3,37577,122,Private
18000,2022,8,ST-3,10897,103,Private
10450,2019,8,ST-3,78000,93,Private
20019,2023,8,ST-3,7824,63,Private
8450,2017,7,ST-3,65000,92,Private
17989,2021,8,ST-3,25000,165,Private
6149,2016,7,ST-3,90100,175,Private
20595,2023,8,ST-3,9345,23,Private
6304,2015,7,ST-3,86276,203,Private
20490,2023,8,ST-3,8314,11,Private
9500,2017,7,ST-3,53000,106,Private
7995,2016,7,ST-3,61000,108,Private
7495,2016,7,ST-3,60500,196,Private
8270,2014,7,ST-3,52600,172,Private
15799,2020,8,ST-3,25839,121,Private
18745,2023,8,ST-3,11008,62,Private
18990,2022,8,ST-3,14917,187,Private
8250,2016,7,ST-3,53500,136,Private
16995,2022,8,ST-3,25304,116,Private
10999,2017,7,ST-3,34049,259,Private
19581,5000,8,ST-3,000,115,Private
18950,2022,8,ST-3,18860,102,Private
12156,2019,8,ST-3,59600,104,Private
19950,2023,8,ST-3,12205,108,Private
20298,2023,8,ST-3,7723,147,Private
18700,2023,8,ST-3,23000,164,Private
12000,2019,8,ST-3,49400,174,Private
9995,2016,7,ST-3,48500,71,Private
18799,2022,8,ST-3,10790,108,Private
17000,2019,8,ST-3,13191,184,Private
8499,2015,7,ST-3,46429,242,Private
18900,2022,8,ST-3,10516,164,Private
15695,2019,8,ST-3,30360,126,Private
19260,2022,8,ST-3,8500,16,Private
19498,2023,8,ST-3,16647,32,Private
13895,2019,8,ST-3,45000,100,Private
18500,2022,8,ST-3,16245,164,Private
18990,2022,8,ST-3,14917,187,Private
18790,2023,8,ST-3,9009,149,Private
6650,2017,7,ST-3,73000,155,Private
21995,2022,8,ST-3,9800,110,Private
10900,2016,7,ST-3,18600,112,Private
17999,2023,8,ST-3,25428,158,Private
6500,2014,7,ST-3,80134,259,Private
7895,2015,7,ST-3,60435,187,Private
19999,2022,8,ST-3,11500,193,Private
16995,2022,8,ST-3,35580,176,Private
12195,2018,8,ST-3,49874,181,Private
17989,2021,8,ST-3,25000,165,Private
18499,2022,8,ST-3,11560,158,Private
5299,2016,7,ST-3,104000,190,Private
19291,2022,8,ST-3,17922,51,Private
19695,2022,8,ST-3,10187,157,Private
10500,2014,7,ST-3,23000,165,Private
15995,2020,8,ST-3,39540,267,Private
18975,2023,8,ST-3,16936,11,Private
18700,2022,8,ST-3,6973,20,Private
18995,2022,8,ST-3,11000,71,Private
12499,2017,7,ST-3,19034,83,Private
18873,2021,8,ST-3,11613,137,Private
18999,2023,8,ST-3,15977,44,Private
18873,2021,8,ST-3,11613,137,Private
20836,2022,8,ST-3,2871,93,Private
17939,2022,8,ST-3,20887,176,Private
9295,2016,7,ST-3,42000,218,Private
18750,2022,8,ST-3,9800,139,Private
17990,2022,8,ST-3,23789,168,Private
