company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address
4BUILD LTD,08623548,Active,Private limited company,,,2013-07-24,,,41100 41202 43210 43220,"Unit 8, Dock Offices Surrey Quays Road London SE16 2XU "
MKS ELECTRICS LTD,08278973,Active,Private limited company,,,2012-11-02,,,43210,C/O Realise Finance Ltd Gloucester House 23a London Road Peterborough PE2 8AN England
SOLUTIONS ELECTRICAL SERVICES LTD,05692461,Active,Private limited company,,,2006-01-31,,,43210,1386 London Road Leigh On Sea SS9 2UJ England
KARMA ELECTRICAL & FIRE SYSTEMS LTD,09357871,Active,Private limited company,,,2014-12-17,,,43210,"Crane Court 302 London Road Ipswich IP2 0AJ "
PRUDENT ELECTRICAL LIMITED,09091638,Active,Private limited company,,,2014-06-18,,,43210,23 Summit Way Southgate London N14 7NN England
ISLINGTON ELECTRICAL LIMITED,08494276,Active,Private limited company,,,2013-04-18,,,43210,48 Emerson Building Chadwell Lane London N8 7RF England
EF ELECTRICAL SERVICES LTD,08556968,Active,Private limited company,,,2013-06-05,,,43210,135 Middleton Avenue London E4 8EE England
GLOBAL FACILITY MAINTENANCE LIMITED,03215891,Active,Private limited company,,,1996-06-24,,,43210 43220 43290 70229,"26 Hillfield Park London N21 3QH "
HALO AV LIMITED,06736955,Active,Private limited company,,,2008-10-29,,,43210,"Suite 9, Hadleigh Business Centre 351 London Road Hadleigh Benfleet SS7 2BT England"
UNIVERSUM CONSTRUCTION LTD,09171817,Active,Private limited company,,,2014-08-12,,,41201 43210 43390,"220c Blythe Road London W14 0HH "
SEL CONSTRUCTIONS (AL) LTD,09258220,Active,Private limited company,,,2014-10-10,,,43210,662 High Road London N12 0NL England
KLB BUILDING SERVICES LTD,07759087,Active,Private limited company,,,2011-09-01,,,43210 43341 43390 43999,61a Lyveden Road London SW17 9DT England
BEECHMORE CONSTRUCTION LTD,08710375,Active,Private limited company,,,2013-09-30,,,43210 43390,"690 London Road Sutton SM3 9BY "
NIBLOCK ELECTRICAL SERVICES LIMITED,08338792,Active,Private limited company,,,2012-12-20,,,43210,"43-45 Dorset Street London W1U 7NA "
VP ELECTRICAL AND CONSTRUCTIONS LTD,05909084,Active,Private limited company,,,2006-08-17,,,43210,"Parker Russell Level 30, The Leadenhall Building 122 Leadenhall Street London EC3V 4AB England"
ZASKAR ELECTRICAL SERVICES LIMITED,08462696,Active,Private limited company,,,2013-03-26,,,43210,4th Floor 4 Tabernacle Street London EC2A 4LU United Kingdom
ELLUMINATE ELECTRICAL & SECURITY SERVICES LTD,08072343,Active,Private limited company,,,2012-05-17,,,43210,"286b Chase Road Southgate London N14 6HF "
T & G L LIMITED,06373572,Active,Private limited company,,,2007-09-18,,,43210 52230,"225 London Road Burgess Hill RH15 9QU "
FADE LIGHTING LTD,08945746,Active,Private limited company,,,2014-03-18,,,43210,"50 St Marys Crescent London NW4 4LH "
FIXXY LTD,08388812,Active,Private limited company,,,2013-02-05,,,25990 43210 47540,New Derwent House 69-73 Theobald's Road London WC1X 8TA England
LOADGEN LIMITED,09119536,Active,Private limited company,,,2014-07-07,,,43210,"9 Perseverance Works Kingsland Road London E2 8DD "
BOCKING ELECTRICAL LIMITED,08801756,Active,Private limited company,,,2013-12-04,,,43210,71-75 Shelton Street London WC2H 9JQ United Kingdom
JNS ENGINEERING LTD,08389088,Active,Private limited company,,,2013-02-05,,,43210,"Ranelagh London Road East Grinstead RH19 1QF "
WHITTON ELECTRICS LIMITED,09124861,Active,Private limited company,,,2014-07-10,,,43210,2 Heigham Road East Ham London E6 2JG England
D S WALSH LIMITED,07647846,Active,Private limited company,,,2011-05-25,,,43210,"Unit M302, Trident Business Centre Bickersteth Road London SW17 9SH England"
TEO CRISTIANO LIMITED,09087642,Active,Private limited company,,,2014-06-16,,,41201 43210,23 Hollybush Street London E13 9ED England
SNS SYSTEMS LIMITED,06753011,Active,Private limited company,,,2008-11-19,,,43210,"31 Sunningdale Close London SE28 8QR "
PARALLEL ELECTRICAL SERVICES LIMITED,04960851,Active,Private limited company,,,2003-11-12,,,43210,"12 Milton Road London W7 1LF "
ENERGY FACILITIES UK LIMITED,08320147,Active,Private limited company,,,2012-12-06,,,43210,190 Billet Road London E17 5DX England
IWA SOLUTIONS LTD,09109737,Active,Private limited company,,,2014-07-01,,,43210,84 Drayton Gardens London SW10 9SD United Kingdom
P.W. ELECTRICAL SERVICES LIMITED,05611755,Active,Private limited company,,,2005-11-03,,,43210,48 Springfield Avenue London SW20 9JX England
K4 ELECTRICAL & MECHANICAL SERVICES LTD,07352077,Active,Private limited company,,,2010-08-20,,,43210,"The Horner Buildings 61 Brushfield Street London E1 6AA "
MAZE ELECTRICAL LIMITED,07304760,Active,Private limited company,,,2010-07-05,,,43210,Unit G01 Fleet Street London EC4A 2DQ England
T CLARKE NORTH WEST LIMITED,01808201,Active,Private limited company,,,1984-04-12,,,42990 43210 43290,30 St. Mary Axe London EC3A 8BF England
TCLARKE LEEDS LIMITED,02023932,Active,Private limited company,,,1986-05-29,,,43210,30 St. Mary Axe London EC3A 8BF England
TCLARKE NEWCASTLE LIMITED,00385769,Active,Private limited company,,,1944-02-23,,,43210,30 St. Mary Axe London EC3A 8BF England
ABS PLUS LIMITED,09333807,Active,Private limited company,,,2014-12-01,,,43210 81100,6 Mistral Court Chingford Avenue London E4 6RQ England
MSI TECHNICAL LTD,06332775,Active,Private limited company,,,2007-08-03,,,43210,63 Loveridge Road London NW6 2DR England
COYLE ELECTRICAL LIMITED,05319970,Active,Private limited company,,,2004-12-22,,,43210,"4a Roman Road East Ham London E6 3RX "
FLAIR DEVELOPMENTS LIMITED,06757513,Active,Private limited company,,,2008-11-25,,,43210 43220,85 Great Portland Street London W1W 7LT England
LEXTEN PROTECTION SYSTEMS LIMITED,06090083,Active,Private limited company,,,2007-02-07,,,43210 82990,222 Upper Richmond Road West London SW14 8AH England
EDMOND HODAJ LTD,08992309,Active,Private limited company,,,2014-04-11,,,43210 43390,63 Loveridge Road London NW6 2DR England
PM ELECTRICAL SERVICES LIMITED,04297676,Active,Private limited company,,,2001-10-02,,,43210,"Suite 1, First Floor, 1 Duchess Street London W1W 6AN England"
LOUNSDALE ELECTRIC LIMITED,00115533,Active,Private limited company,,,1911-04-29,,,43210,5 Churchill Place Canary Wharf London E14 5HU England
L J NICOL ELECTRICAL LTD,08278240,Active,Private limited company,,,2012-11-01,,,43210,59 Atkins Road London SW12 0AH England
TIM KELLY ELECTRICAL CONTRACTORS (UK) LIMITED,03122826,Active,Private limited company,,,1995-11-06,,,43210,4th Floor 49 St James's Street London SW1A 1AH United Kingdom
DARREN BRUCE ELECTRICAL LIMITED,04631205,Active,Private limited company,,,2003-01-08,,,43210,"16 Palace Gates Road London N22 7BN "
MJR ELECTRIC LIMITED,08957821,Active,Private limited company,,,2014-03-25,,,43210,23 Somerford Way London SE16 6QN England
BALA PROPERTY MAINTENANCE LTD,09350647,Active,Private limited company,,,2014-12-11,,,43210 43320 43330 43341,"53 Marcon Court Amhurst Road London E8 1LN "
TRI-EX SECURITY LIMITED,04881033,Active,Private limited company,,,2003-08-28,,,33140 43210,"Greenside House, 50 Station Road Wood Green London N22 7DE "
CLOVISDILLON RHONE LTD,09145033,Active,Private limited company,,,2014-07-23,,,43210,"49 Ankerdine Crescent Woolwich SE18 3LD "
CITY RESPONSE LIMITED,04471280,Active,Private limited company,,,2002-06-27,,,43210 43220 43310 43320,7th Floor 350 Euston Road Regent's Place London NW1 3AX England
ISHAAN UNIVERSAL LIMITED,07211090,Active,Private limited company,,,2010-04-01,,,43210 47190,"Suite 120 Unit 3 Woodward Buildings 1 Victoria Road London W3 6FA "
BALFOUR KILPATRICK LIMITED,00255342,Active,Private limited company,,,1931-03-30,,,43210,5 Churchill Place Canary Wharf London E14 5HU England
A2 ELECTRICAL LTD,05278949,Active,Private limited company,,,2004-11-05,,,43210,1434 London Road Leigh-On-Sea SS9 2UL United Kingdom
K TEK (UK) LIMITED,02162642,Active,Private limited company,,,1987-09-09,,,43210,"Wellesley House 204,London Road Waterlooville PO7 7AN "
PTW ELECTRIC LTD,08395960,Active,Private limited company,,,2013-02-08,,,43210,C/O Quick Accountancy Waterlooville Ltd 113a London Road Waterlooville PO7 7DZ England
STRUKTOR LTD,09322020,Active,Private limited company,,,2014-11-21,,,43210,"15 Canning Crescent Flat 3 London N22 5SR "
HARRIS AND MOULE LIMITED,08885834,Active,Private limited company,,,2014-02-11,,,43210,28 The Mall London N14 6LN England
OLASUNKAS CONSULT LTD,09203760,Active,Private limited company,,,2014-09-04,,,43210,Flat 6 20-22 Cressingham Road London SE13 5AG England
NAKED EYE LIGHTING LIMITED,05346765,Active,Private limited company,,,2005-01-28,,,43210 59113 90020,"63 Highgate High Street London N6 5JX "
YK ELECTRICAL LIMITED,07947148,Active,Private limited company,,,2012-02-13,,,43210,138 Hampden Way Hampden Way London N14 5AX England
A J GRIMSHAW LIMITED,06306676,Active,Private limited company,,,2007-07-09,,,43210,"400 Harrow Road London W9 2HU "
PURDY CONTRACTS LIMITED,01830283,Active,Private limited company,,,1984-07-05,,,43210,"Brooklyn Lodge Mott Street London E4 7RW "
TSJ BUILDING SERVICES (ELECTRICAL) LTD,07881517,Active,Private limited company,,,2011-12-14,,,43210,"122 St Pancras Way London NW1 9NB "
SPOKEMEAD MAINTENANCE LIMITED,05122953,Active,Private limited company,,,2004-05-10,,,43210 43220 43290,Brooklyn Lodge Mott Street London E4 7RW England
