company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address
ALEXANDER ZANE PROJECTS LTD,06995078,Active,Private limited company,,,2009-08-19,,,41100 43210,"Paxton Lodge London Road Coventry CV1 2JT "
EPG SPECIALISTS LTD,07244642,Active,Private limited company,,,2010-05-06,,,35230 43210 43220 43290,"Unit 64- 101 Clapham High Street London SW4 7TB "
DOLFIN ELECTRICALS LTD,07154290,Active,Private limited company,,,2010-02-11,,,43210,77 Lullingstone Lane London SE13 6UH England
JB ELECTRIX LTD,07604751,Active,Private limited company,,,2011-04-14,,,43210 43999,"41 Riverside London NW4 3TU "
FOREVER ELECTRICAL INSTALLATION AND BUILDING SERVICE LTD,06611720,Active,Private limited company,,,2008-06-04,,,43210,"85 Great Portland Street Firet Floor London W1W 7LT "
TSAVO ENTERPRISES LIMITED,07599210,Active,Private limited company,,,2011-04-11,,,33140 43210 81222,20 Wenlock Road London N1 7GU England
WHITTLE ELECTRICAL CONTRACTORS LIMITED,04206772,Active,Private limited company,,,2001-04-26,,,43210,"Wellesley House 204 London Road Waterlooville PO7 7AN "
M HODGINS ELECTRICAL CONTRACTORS LTD,09104970,Active,Private limited company,,,2014-06-26,,,43210,Top Floor Claridon House London Road Stanford Le Hope SS17 0JU United Kingdom
ALBAVISHA LTD,06582780,Active,Private limited company,,,2008-05-01,,,43210,83d London Road Romford RM7 9QD England
BALMER ELECTRICAL SERVICES LIMITED,06786837,Active,Private limited company,,,2009-01-09,,,43210,5 Brayford Square London E1 0SG England
FIRST STRIKE ELECTRICAL LTD.,03786975,Active,Private limited company,,,1999-06-10,,,43210,19-21 Crawford Street London W1H 1PJ England
A BINNS ELECTRICAL LTD,09082764,Active,Private limited company,,,2014-06-12,,,43210,Turnpike House 1208/1210 London Road Leigh-On-Sea SS9 2UA England
BESPOKE SERVICE SOLUTIONS LIMITED,08035640,Active,Private limited company,,,2012-04-18,,,43210 70229 71200,"27 Old Gloucester Street London WC1N 3AX "
M A L CONTRACT SERVICES LIMITED,03554881,Active,Private limited company,,,1998-04-29,,,43210,"C/O Francis Clarks 1 London Road Ipswich IP1 2HA "
RMC ELECTRICAL SERVICES LTD,09230190,Active,Private limited company,,,2014-09-23,,,43210,Top Floor Claridon House London Road Stanford Le Hope SS17 0JU United Kingdom
AMP ELECTRICAL SERVICES LIMITED,06895527,Active,Private limited company,,,2009-05-05,,,43210,591 London Road Cheam Sutton SM3 9AG England
SCL MANAGED SERVICES LIMITED,04441132,Active,Private limited company,,,2002-05-17,,,43210 43220 43290 81100,"167-169 Great Portland Street, 5th Floor Great Portland Street London W1W 5PF England"
EDUCATION DATA SERVICES (UK) LIMITED,06125873,Active,Private limited company,,,2007-02-23,,,43210,46 Devonshire Road London SE23 3SR England
CC ELECTRICS LTD,09002284,Active,Private limited company,,,2014-04-17,,,43210,71-75 Shelton Street Covent Garden WC2H 9JQ United Kingdom
GRATTE BROTHERS SECURITY MANAGEMENT LIMITED,00350139,Active,Private limited company,,,1939-03-03,,,43210,"2 Regent Wharf All Saints Street London N1 9RL "
KESSY STEEL STRUCTURES LIMITED,05133668,Active,Private limited company,,,2004-05-20,,,41202 43210,"59 Court Way London NW9 6JG "
MULTIFORM CONSULTING LIMITED,08088641,Active,Private limited company,,,2012-05-30,,,43210 70229,"168a Palmerston Road Bowes Park N22 8RB "
EKC CONTRACTORS LIMITED,09030636,Active,Private limited company,,,2014-05-08,,,43210,42 Addison Avenue London N14 4AE England
SMART ELECTRICAL SERVICES 4 U LTD,09030214,Active,Private limited company,,,2014-05-08,,,43210,"12 Hill Drive Kingsbury NW9 8PH "
MARVEL ELECTRICAL LIMITED,09256052,Active,Private limited company,,,2014-10-09,,,43210,105 Seven Sisters Road London N7 7QR England
ACAM ELECTRICAL LTD,05846159,Active,Private limited company,,,2006-06-14,,,43210,42 Owen Close London SE28 8AL England
C. AITKEN BUILDERS LIMITED,03159852,Active,Private limited company,,,1996-02-15,,,41202 43210,"12 Northfields Prospect Putney Bridge Road London SW18 1PE "
BERKHAMSTED ELECTRIC AND ELECTRONIC SERVICES LTD,07247064,Active,Private limited company,,,2010-05-07,,,43210,"56a London Road Apsley Hemel Hempstead HP3 9SB "
CRITICAL ENGINEERING LTD,05809600,Active,Private limited company,,,2006-05-08,,,43210,"50 St. Mary's Crescent London NW4 4LH "
ANTHONY SELF LIMITED,09054195,Active,Private limited company,,,2014-05-23,,,43210,"10 Charteris Road London N4 3AB "
D & B TECHNICAL SYSTEMS LIMITED,04708731,Active,Private limited company,,,2003-03-24,,,43210,New Derwent House 69-73 Theobalds Road London WC1X 8TA England
S M HARROP LIMITED,07995071,Active,Private limited company,,,2012-03-19,,,43210,"35 Gap Road Wimbledon SW19 8JG "
S O E CONTRACTS LIMITED,05435996,Active,Private limited company,,,2005-04-26,,,43210 43290 55900 68209,St Magnus House 3 Lower Thames Street London EC3R 6HD England
WESTROW SERVICES LIMITED,03751041,Active,Private limited company,,,1999-04-13,,,43210,"255 Green Lanes London N13 4XE "
LEWIS-SHELTON ELECTRICAL LIMITED,09229250,Active,Private limited company,,,2014-09-22,,,43210,"85 Great Portland Street First Floor London W1W 7LT "
P M ELECTRICAL LIMITED,03357991,Active,Private limited company,,,1997-04-22,,,43210,137 Station Road Chingford London E4 6AG England
DAN-KIT LIMITED,05079035,Active,Private limited company,,,2004-03-19,,,42990 43210,50 Manaton Close London SE15 3PP England
TILBURY DOUGLAS ENGINEERING LIMITED,03044398,Active,Private limited company,,,1995-04-10,,,43210 43220,30-40 Eastcheap London EC3M 1HD England
HANWELL ELECTRICAL LTD,08972309,Active,Private limited company,,,2014-04-02,,,43210,14 Maunder Road London W7 3PN England
EN-FUSE ELECTRICAL LIMITED,08512858,Active,Private limited company,,,2013-05-01,,,43210,"Wellesley House 204 London Road Waterlooville PO7 7AN "
P.J. ELECTRICAL INSTALLATIONS LTD,03358640,Active,Private limited company,,,1997-04-23,,,43210,Seymour Chambers 92 London Road Liverpool L3 5NW United Kingdom
NGR ELECTRICAL LIMITED,08657492,Active,Private limited company,,,2013-08-20,,,43210,"Unit 6, Quebec Wharf 14 Thomas Road London E14 7AF "
ALLINGTON ELECTRICAL & PROPERTY SERVICES LTD,08547244,Active,Private limited company,,,2013-05-29,,,43210 62020,Demsa Accounts 565 Green Lanes Haringey London N8 0RL England
INDUSTRIAL EFFICIENCY II LIMITED,09060396,Active,Private limited company,,,2014-05-28,,,43210,C/O Foresight Group Llp The Shard 32 London Bridge Street London SE1 9SG United Kingdom
R. C. ELECTRICS LIMITED,03527095,Active,Private limited company,,,1998-03-13,,,43210,Flat 4 1 Nichollsfield Walk London N7 9RU England
SPL PROPERTY SERVICES LTD,05012530,Active,Private limited company,,,2004-01-12,,,43210,"First Floor, 73-81 Southwark Bridge Road London SE1 0NQ England"
CRE8 ELECTRICAL SOLUTIONS LIMITED,09058882,Active,Private limited company,,,2014-05-27,,,43210,590 Green Lanes London N13 5RY United Kingdom
WESTGATE ELECTRICAL SERVICES LIMITED,03870341,Active,Private limited company,,,1999-11-02,,,43210,"211 London Road, Ruscombe Twyford Berks RG10 9HG "
PELDON ROSE (MECHANICAL AND ELECTRICAL) LIMITED,02119415,Active,Private limited company,,,1987-04-03,,,43210 43999 96090,"Sterling House 42 Worple Road Wimbledon SW19 4EQ "
LEC SERVE LIMITED,05486382,Active,Private limited company,,,2005-06-21,,,43210,5 Beauchamp Court Victors Way Barnet EN5 5TZ United Kingdom
TAYLECTRICAL LTD,06939961,Active,Private limited company,,,2009-06-22,,,43210,"C/O Ztk Tax Advisory Suite 1, Ideas House 18 Eastwood Close London E18 1BY United Kingdom"
KILOWATT LIMITED,05142810,Active,Private limited company,,,2004-06-01,,,43210,21 Moresby Road London E5 9LE England
SYSCOM BUILDING MANAGEMENT LTD,03642484,Active,Private limited company,,,1998-10-01,,,43120 43210 43220 43390,"Menzies Llp 2nd Floor Magna House, 18-32 London Road Staines-Upon-Thames TW18 4BP United Kingdom"
APPROVED ELECTRICIANS GROUP LIMITED,08706953,Active,Private limited company,,,2013-09-26,,,43210,"19 Elkington Road London E13 8LW "
GENERATED POWER SERVICES LIMITED,01787963,Active,Private limited company,,,1984-02-01,,,43210 96090,63-66 Hatton Garden Fifth Floor Suite 23 London EC1N 8LE England
GLAES LTD,08101770,Active,Private limited company,,,2012-06-12,,,43210,85 Great Portland Street First Floor London W1W 7LT England
PHOTON ELECTRICAL LTD,08965311,Active,Private limited company,,,2014-03-28,,,43210,42 Theydon Street London E17 8EL England
ZOTOW ELECTRICAL SERVICES LIMITED,08177248,Active,Private limited company,,,2012-08-13,,,43210,65 Addison Way London NW11 6AR England
A W ELECTRICAL LIMITED,03995746,Active,Private limited company,,,2000-05-17,,,43210,"Wellesley House Duke Of Wellington Avenue Royal Arsenal Woolwich London SE18 6SS "
EPIC INTEGRATION LTD,08187486,Active,Private limited company,,,2012-08-22,,,43210 47430 62011 62090,Epic Integration 9-11 Gunnery Terrace The Royal Arsenal London SE18 6SW England
IMPEDANCE ELECTRICAL LIMITED,08401148,Active,Private limited company,,,2013-02-13,,,43210,"1 Queens Parade Brownlow Road London N11 2DN "
M DE SOUZA LTD,09057712,Active,Private limited company,,,2014-05-27,,,43210,209 Balfour House 741 High Road London N12 0BP England
BRISLEE ELECTRICAL LIMITED,07617042,Active,Private limited company,,,2011-04-28,,,43210,4th Floor 4 Tabernacle Street London EC2A 4LU United Kingdom
POLYTECK BUILDING SERVICES LIMITED,05498728,Active,Private limited company,,,2005-07-04,,,43210 43220 43390 81100,1 Kings Avenue London N21 3NA United Kingdom
APT ELECTRICAL LIMITED,05526586,Active,Private limited company,,,2005-08-03,,,43210,"Wren House, 68 London Road St Albans Herts AL1 1NG "
KINGS CONTRACTORS (UK) LIMITED,08932479,Active,Private limited company,,,2014-03-11,,,43210 43390,"57 Shirley Road London E15 4HL "
THE SOLAR ELECTRICIAN LTD,07898393,Active,Private limited company,,,2012-01-05,,,43210,20-22 Wenlock Road London N1 7GU England
ADE BUILDING SERVICES LIMITED,07696737,Active,Private limited company,,,2011-07-07,,,43210 43220 43290,"48 Bracondale Road Abbeywood SE2 9HS "
RGS ELECTRICAL LTD,06669473,Active,Private limited company,,,2008-08-11,,,43210,15 Dovedale Road London SE22 0NF England
MARK BUILDING MAINTENANCE LTD,08535771,Active,Private limited company,,,2013-05-20,,,43210,10 Garnett Way London E17 5PE England
GLOBAL FLOW LIMITED,05788286,Active,Private limited company,,,2006-04-20,,,43210 51102 70229 85590,"19 Stapleford Close London SW19 6TG "
A.D.E. ELECTRICAL & DATA CABLING SYSTEMS LTD,06310443,Active,Private limited company,,,2007-07-12,,,41202 43210,"52 Eskdale Avenue Northolt London UB5 5DJ "
S-SPARKY PRO LTD,09066184,Active,Private limited company,,,2014-06-02,,,43210,63 Loveridge Road London NW6 2DR England
GREG & SONS LIMITED,05518301,Active,Private limited company,,,2005-07-26,,,43210,114 Colindale Avenue Colindale NW9 5GX United Kingdom
1ST CLASS ELECTRICAL SERVICES LTD,09159371,Active,Private limited company,,,2014-08-04,,,43210,38 Bastion Road London SE2 0RG England
ELE SYSTEMS LIMITED,08788588,Active,Private limited company,,,2013-11-25,,,43210,"23 Bedford Road London N9 7BY "
TONY'S ELECTRICAL LTD,09050591,Active,Private limited company,,,2014-05-21,,,43210,57 Braemar Avenue London N22 7AR England
EVER READY SERVICES LIMITED,03849242,Active,Private limited company,,,1999-09-28,,,43210,"First Floor, 3 Cumbrian House 217 Marsh Wall London E14 9FJ United Kingdom"
ADAMS ELECTRICAL SOLUTIONS LIMITED,09159871,Active,Private limited company,,,2014-08-04,,,43210,"2 Scarborough Street London E1 8DR "
ECO GLO LIMITED,09170116,Active,Private limited company,,,2014-08-11,,,43210,124 City Road London EC1V 2NX England
C LYDON SERVICES CO LTD,09045708,Active,Private limited company,,,2014-05-19,,,43210,"57 River Road Unit 9 Creekmouth Industrial Estate London IG11 0DA "
DAWSONS ELECTRICAL SERVICES LTD,09093645,Active,Private limited company,,,2014-06-19,,,43210,"77 Penton Place London SE17 3JR "
MORETECH LIMITED,07062085,Active,Private limited company,,,2009-10-30,,,43210,"4a Roman Road East Ham E6 3RX "
DESIGNER METAL PRODUCTS LIMITED,06335144,Active,Private limited company,,,2007-08-06,,,43210,Sterling House Fulbourne Road Walthamstow E17 4EE England
LEWIS ELECTRICAL CONTRACTS LIMITED,03556077,Active,Private limited company,,,1998-04-30,,,43210,New Derwent House 69-73 Theobalds Road London WC1X 8TA England
EAGLES ELECTRICAL LTD,08687552,Active,Private limited company,,,2013-09-12,,,43210,"4th Floor, Silverstream House 45 Fitzroy Street Fitzrovia London W1T 6EB England"
K.H. MARSHALL (ELECTRICAL CONTRACTORS) LIMITED,01225931,Active,Private limited company,,,1975-09-10,,,43210,1-4 London Road Spalding PE11 2TA England
ORMAN CONTRACTING LIMITED,04501112,Active,Private limited company,,,2002-08-01,,,43210 43220,44 Allingham Close London W7 1NB England
ELECTRICAL PRO LTD,09166297,Active,Private limited company,,,2014-08-07,,,43210,7 Bell Yard London WC2A 2JR England
DENNY & FLACK (ELECTRICAL CONTRACTORS) LIMITED,00952216,Active,Private limited company,,,1969-04-16,,,43210,"70 Grosvenor Road Wanstead London E11 2ES "
HOPKINS & SON (ELECTRICAL) LIMITED,02514656,Active,Private limited company,,,1990-06-22,,,43210,"2 Beacon End Courtyard London Road Stanway Colchester CO3 0NU "
HS BUILDING CONTRACTORS LTD,05926363,Active,Private limited company,,,2006-09-06,,,43210 43290 43310 43390,"54 Grenoble Gardens London N13 6JG "
BROS CONSTRUCTION LIMITED,06201183,Active,Private limited company,,,2007-04-03,,,43210 43290 43390,114a Walm Lane London NW2 4RT England
V J WIRING INSTALLATIONS LIMITED,03921498,Active,Private limited company,,,2000-02-08,,,43210,"34 Kitson Road London SE5 7LF "
BOUNDARY SURVEILLANCE LIMITED,04410424,Active,Private limited company,,,2002-04-05,,,43210 43290 80200,"269 Boundary Road Walthamstow London E17 8NE "
J & T INSTALLATIONS (UK) LIMITED,05101290,Active,Private limited company,,,2004-04-14,,,43210,248 Church Lane Kingsbury NW9 8SL England
MWF SECURITY LIMITED,04182331,Active,Private limited company,,,2001-03-19,,,43210,"590 Green Lanes Palmers Green London N13 5RY "
CBL PROJECTS INSTALLATIONS & MAINTENANCE LTD,05697191,Active,Private limited company,,,2006-02-03,,,43210,"12 The Avenue Ealing London W13 8PH "
EAVES DEVELOPMENTS LIMITED,05067895,Active,Private limited company,,,2004-03-09,,,43210 68100 68209 68320,"190 Evering Road London E5 8AJ "
BURNARD EBS LIMITED,05416540,Active,Private limited company,,,2005-04-07,,,43210,Elizabeth House 13-19 London Road Newbury RG14 1JL United Kingdom
OFFICE SECURITY LIMITED,08511258,Active,Private limited company,,,2013-04-30,,,43210,Penderel House 283-288 High Holborn London WC1V 7HP England
IKPE LIMITED,09039667,Active,Private limited company,,,2014-05-14,,,43210 43220 43330,99a Cobbold Road London NW10 9SL England
MURCHISON ELECTRICAL LTD,08995361,Active,Private limited company,,,2014-04-14,,,43210,"112a Portway London E15 3QJ "
MCALLISTER AV LIMITED,08930083,Active,Private limited company,,,2014-03-10,,,43210 43290,2-5 Croxted Mews 286/288 Croxted Road London SE24 9DA England
D M NORTHSIDE LIMITED,08972018,Active,Private limited company,,,2014-04-02,,,43210,"16 Aylmer Parade Aylmer Road London N2 0PE "
CONNECT ELECTRICAL (ST ALBANS) LTD,08997192,Active,Private limited company,,,2014-04-15,,,43210,"27 Morris Way London Colney St Albans "
POWER LINK ELECTRICAL SOLUTIONS LTD,07595089,Active,Private limited company,,,2011-04-07,,,43210,67 Lincoln Avenue London N14 7LL England
QRL ELECTRICAL LTD,07217363,Active,Private limited company,,,2010-04-08,,,43210,Highland House 165 The Broadway Wimbledon SW19 1NE England
DIRECT ELECTRICAL SOLUTIONS LIMITED,06063158,Active,Private limited company,,,2007-01-23,,,43210,"14 Court Road South Norwood London SE25 4BN "
M J P ELECTRICAL LTD,03570798,Active,Private limited company,,,1998-05-27,,,43210,"75 Dixon Road South Norwood London SE25 6UE "
LONDONELECTRICALS.CO.UK LIMITED,06603127,Active,Private limited company,,,2008-05-27,,,43210,Studio 6a 6 Hornsey Street London N7 8GR England
WILL BARTON ELECTRICAL SERVICES LTD.,07381496,Active,Private limited company,,,2010-09-20,,,43210,"15 London Road Sawston CB22 3XE "
S. MUCA LIMITED,06617743,Active,Private limited company,,,2008-06-12,,,43210,"84 High Street London NW10 4SJ "
CARETECH ADAPT & BUILD LIMITED,03609346,Active,Private limited company,,,1998-08-04,,,43210,"1386 London Road Leigh On Sea SS9 2UJ "
SIMPLEC CONTRACTS LTD,07586799,Active,Private limited company,,,2011-03-31,,,43210,"147 Station Road North Chingford London E4 6AG "
STONE 1 LIMITED,07439584,Active,Private limited company,,,2010-11-15,,,43210,"1 Christie House 14 Varcoe Gardens Hayes London UB3 2FF "
QUINN ELECTRICAL LIMITED,03994632,Active,Private limited company,,,2000-05-16,,,43210,"21 Mallard Way Kingsbury London NW9 8JP "
BLUATIA LIMITED,06826089,Active,Private limited company,,,2009-02-20,,,43210,"255 Green Lanes Palmers Green London N13 4XE "
ELCOFIX LTD,05851287,Active,Private limited company,,,2006-06-20,,,43210 43390,"14 Glendale Way Thamesmead London SE28 8HA "
ELMO ELECTRICAL CONTRACTORS LTD,03589511,Active,Private limited company,,,1998-06-29,,,43210,71-75 Shelton Street Covent Garden London WC2H 9JQ England
J.P.H BUILDING SERVICES LIMITED,07696622,Active,Private limited company,,,2011-07-07,,,43210,"6 Middle Park Avenue Eltham SE9 5HP "
ASSURED CONSTRUCTION (UK) LTD,09063648,Active,Private limited company,,,2014-05-30,,,43210,C205 The Chocolate Factory 5 Clarendon Road London N22 6XJ United Kingdom
BSP CONTRACTING LIMITED,06605715,Active,Private limited company,,,2008-05-29,,,43210,160 City Road London EC1V 2NX England
PAULS RAILWAY EXPRESS LTD,08121211,Active,Private limited company,,,2012-06-27,,,43210,Unit 112 10 Streatleigh Parade London SW16 1EQ England
E17 ELECTRICIANS LTD,06691808,Active,Private limited company,,,2008-09-08,,,43210,19 Hurst Close London E4 8DN England
DEMSE TECHNICAL SYSTEMS LIMITED,05230128,Active,Private limited company,,,2004-09-14,,,43210 74909,"Unit 15- 16, Peacock Industrial Estate White Hart Lane London N17 8DT England"
K2 ELECTRICS LIMITED,04069108,Active,Private limited company,,,2000-09-11,,,43210,"229 Whittington Road London N22 8YW "
N A DUDLEY ELECTRICAL CONTRACTORS LIMITED,05399678,Active,Private limited company,,,2005-03-20,,,43210,3 - 5 London Road Rainham Gillingham ME8 7RG England
KENSINGTON BUILDERS & DECORATORS LIMITED,05362907,Active,Private limited company,,,2005-02-14,,,43210 43220 43290 43310,170 Church Road London E10 7BH England
PLATINUM ELECTRICAL CONTRACTING LTD,08680569,Active,Private limited company,,,2013-09-06,,,43210,20-22 Wenlock Road London N1 7GU England
ELECTRICAL REALITIES LTD,08917810,Active,Private limited company,,,2014-02-28,,,43210,25 Berasford Road Southall London UB1 1NJ England
HUNTLEY ELECTRONIC SYSTEMS LTD,08203085,Active,Private limited company,,,2012-09-05,,,43210,"286b Chase Road Southgate London N14 6HF "
HALLOWELL ELECTRICAL ENGINEERS LIMITED,06285720,Active,Private limited company,,,2007-06-19,,,43210,61 Preston Road London E11 1NL England
T LAWSON ELECTRICAL & CONSTRUCTION LTD,08318413,Active,Private limited company,,,2012-12-05,,,43210,"17a Mornington Avenue West Kensington London W14 8UJ "
SIX SEVEN PROJECT LTD,09098843,Active,Private limited company,,,2014-06-23,,,43210 62090,20-22 Wenlock Road London N1 7GU England
GRATTE BROTHERS BUILDING SERVICES MAINTENANCE LIMITED,02729551,Active,Private limited company,,,1992-07-08,,,43210,"2 Regents Wharf All Saints Street London N1 9RL "
GILL ELECTRICAL LTD,09105281,Active,Private limited company,,,2014-06-27,,,43210,5 Brayford Square London E1 0SG England
IRS SOLUTIONS LIMITED,06466122,Active,Private limited company,,,2008-01-07,,,43210,"147 Station Road North Chingford E4 6AG "
CAPITAL REWIRE LIMITED,05257683,Active,Private limited company,,,2004-10-12,,,43210,Unit Om111 Busworks 39-41 North Road London N7 9DP England
SJP ELECTRICAL (NW) LTD,07711033,Active,Private limited company,,,2011-07-19,,,43210,"Seymour Chambers 92 London Road Liverpool L3 5NW "
INSTANT KITCHENS & BEDROOMS LIMITED,05851476,Active,Private limited company,,,2006-06-20,,,43210,"Unit 6 Quebec Wharf 14 Thomas Road London E14 7AF "
TAMPY ELECTRICAL LIMITED,09232878,Active,Private limited company,,,2014-09-24,,,43210,"Flat 44, Penryn House 64 Kennington Park Road London SE11 4HX "
EARL`S LEGACY LIMITED,06160159,Active,Private limited company,,,2007-03-14,,,43210,"41 Hedge Lane Palmers Green London N13 5SJ "
T MCCARTHY ELECTRICAL LIMITED,09093829,Active,Private limited company,,,2014-06-19,,,43210,Top Floor Claridon House London Road Stanford Le Hope SS17 0JU United Kingdom
MURPHY TECHNICAL SERVICES LIMITED,00931022,Active,Private limited company,,,1968-04-24,,,43210 43999,"Hiview House Highgate Road London NW5 1TN "
GASEL SERVICES LIMITED,05481590,Active,Private limited company,,,2005-06-15,,,43210,"78 Grenoble Gardens London N13 6JH "
I M ELECTRICAL CONTRACTS LIMITED,05604410,Active,Private limited company,,,2005-10-26,,,43210,"590 Green Lanes Palmers Green London N13 5RY "
GEORGE E. BUXTON LIMITED,02042693,Active,Private limited company,,,1986-07-31,,,43210,2 Twyford Business Centre London Road Bishop's Stortford CM23 3YT United Kingdom
PLF ELECTRICAL LTD,09101933,Active,Private limited company,,,2014-06-25,,,43210,Studio 6a 6 Hornsey Street London N7 8GR England
BOGDAN CONTRACTORS LTD,06731456,Active,Private limited company,,,2008-10-23,,,43210 43220 43330 43341,11 Trevelyan Road London E15 1SU England
CUSTOM SOLAR LTD,07886213,Active,Private limited company,,,2011-12-19,,,43210,Level 12 The Shard 32 London Bridge Street London SE1 9SG England
SHEVKET BROTHERS LTD,04833295,Active,Private limited company,,,2003-07-15,,,43210,"111a George Lane London E18 1AN "
STM RENOVATION LIMITED,09122556,Active,Private limited company,,,2014-07-09,,,43210,"6 Reedham Close London N17 9PT "
THEYDON ELECTRICAL LIMITED,08323479,Active,Private limited company,,,2012-12-10,,,43210,Ground Floor Marlborough House 298 Regents Park Road London N3 2SZ United Kingdom
FIRST CALL LIMITED,06290670,Active,Private limited company,,,2007-06-25,,,43210 43220,2 Rixsen Road London E12 6RN England
PROFESSIONAL ELECTRICAL & FABRICATION LTD,05858136,Active,Private limited company,,,2006-06-26,,,43210 43390,"25 Wilkinson Way Acton London W4 5XD "
J & M SATELLITES LIMITED,04900227,Active,Private limited company,,,2003-09-16,,,43210,"J & M Satellites Limited, 60 Windsor Avenue London SW19 2RR England"
DREWID AUDIO & ELECTRICAL LIMITED,09139855,Active,Private limited company,,,2014-07-21,,,43210 59112 90030,"596b Kingsland Road London E8 4AH "
NAD ELECTRICAL SERVICE LTD,09255449,Active,Private limited company,,,2014-10-08,,,43210,"41 Fairford House Kennington Lane Kennington SE11 4HR "
TH.ES ENTERPRISES LTD,08753349,Active,Private limited company,,,2013-10-29,,,43210,67 C Granville Park London SE13 7DW England
HOME 2 LIMITED,04261540,Active,Private limited company,,,2001-07-30,,,43210,"17 Hertford Avenue London SW14 8EF "
ELCOM PROJECTS LIMITED,07069664,Active,Private limited company,,,2009-11-08,,,43210,Ground Floor Marlborough House 298 Regents Park Road London N3 2SZ England
SCV ELECTRICAL LIMITED,08532353,Active,Private limited company,,,2013-05-16,,,43210,Highland House 165 The Broadway Wimbledon SW19 1NE United Kingdom
MOB INSTALLATIONS LTD,06215587,Active,Private limited company,,,2007-04-17,,,43210,Top Floor Claridon House London Road Stanford Le Hope SS17 0JU United Kingdom
LONGACRE BUILDING SERVICES LIMITED,03191906,Active,Private limited company,,,1996-04-29,,,43210,"Lynton House 7-12 Tavistock Square London WC1H 9LT "
RUSSELL KING & SON LIMITED,04977306,Active,Private limited company,,,2003-11-26,,,41202 43210 43220 43390,85 Great Portland Street First Floor London W1W 7LT England
FIRST CALL ELECTRICAL LIMITED,08178425,Active,Private limited company,,,2012-08-14,,,43210,Avery House 8 Avery Hill Road London SE9 2BD England
P & H INSTALLATIONS LIMITED,03335630,Active,Private limited company,,,1997-03-19,,,43210,"147 Station Road North Chingford London E4 6AG "
BEST ELECTRICAL SERVICES TODAY LTD,08306199,Active,Private limited company,,,2012-11-23,,,43210,"112 Princes Gardens London W3 0LJ "
BMN SERVICES LTD,04493853,Active,Private limited company,,,2002-07-24,,,43210 43220 43310 43342,20 Seymour Mews London W1H 6BQ United Kingdom
S.N.G. ELECTRICAL LIMITED,05911740,Active,Private limited company,,,2006-08-21,,,43210,"1 - 4 London Road Spalding Lincs PE11 2TA "
NAC ELECTRICAL SERVICES LIMITED,06816902,Active,Private limited company,,,2009-02-11,,,43210,107 31 Millharbour London E14 9DT England
M D CUSTOM ELECTRIC LTD,08364214,Active,Private limited company,,,2013-01-17,,,43210,5 Beauchamp Court Victors Way Barnet London EN5 5TZ United Kingdom
M P ELECTRICAL CONTRACTORS (BERKSHIRE) LTD.,06601248,Active,Private limited company,,,2008-05-23,,,43210,317 Horn Lane London W3 0BU England
B.  MERRY ELECTRICAL LIMITED,05949072,Active,Private limited company,,,2006-09-27,,,43210,"C/O Bbk Accountants Limited 4a Roman Road East Ham E6 3RX "
CREDENCE CONTRACTS LTD,08294837,Active,Private limited company,,,2012-11-15,,,43210 43220 43290 43999,"Suite 205, Balfour House 741 High Road London N12 0BP England"
BLUEVISTA SOLUTIONS LIMITED,07445400,Active,Private limited company,,,2010-11-19,,,43210 62020 90020,27 Old Gloucester Street London WC1N 3AX United Kingdom
ANGLIA ELECTRICAL SERVICES LIMITED,03658889,Active,Private limited company,,,1998-10-29,,,43210,30 St. Mary Axe London EC3A 8BF England
TCLARKE SOUTH EAST LIMITED,01878294,Active,Private limited company,,,1985-01-16,,,43210 43220,30 St. Mary Axe London EC3A 8BF England
ETON ASSOCIATES LIMITED,02820813,Active,Private limited company,,,1993-05-24,,,43210 43220 43290,30 St. Mary Axe London EC3A 8BF England
T. CLARKE EAST LIMITED,01368275,Active,Private limited company,,,1978-05-12,,,43210 43220,30 St. Mary Axe London EC3A 8BF England
MITCHELL AND HEWITT LIMITED,01455864,Active,Private limited company,,,1979-10-22,,,43210 43220,30 St. Mary Axe London EC3A 8BF England
TCLARKE SOUTH WEST LIMITED,02013973,Active,Private limited company,,,1986-04-25,,,43210 43220 80200,30 St. Mary Axe London EC3A 8BF England
BRIAN CURTIS LIMITED,04888515,Active,Private limited company,,,2003-09-04,,,43210,"Thames House 1528 London Road Leigh-On-Sea SS9 2QH "
C.J.R. ELECTRICAL LIMITED,02081606,Active,Private limited company,,,1986-12-08,,,43210,"601 London Road Westcliff-On-Sea SS0 9PE "
M & K ELECTRICAL SOLUTIONS LIMITED,06130227,Active,Private limited company,,,2007-02-27,,,43210,"38 Bradley Road Upper Norwood London SE19 3NS "
ALB BUILDING SERVICES LTD,05377672,Active,Private limited company,,,2005-02-28,,,43210 43220 43330,Building 2 30 Friern Park London N12 9DA England
RCR ELECTRICAL SYSTEMS LIMITED,07764962,Active,Private limited company,,,2011-09-07,,,43210,Fiscal House 367 London Road Camberley GU15 3HQ United Kingdom
RAY LEWIS ELECTRICAL CONTRACTORS LIMITED,08863666,Active,Private limited company,,,2014-01-27,,,43210,"20 Dickens Lane Edmonton London N18 1PH "
SPICE INSTALLATIONS LIMITED,05907210,Active,Private limited company,,,2006-08-16,,,43210 82990,"76 Frederick Place London SE18 7BH "
